SAL_NAME21,district_label,member,party,pct_area
Wandong,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,50.84
Wandong,Euroa District,"CLEELAND, Annabelle",The Nationals,49.15
Wantirna,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,99.49
Wantirna,Rowville District,"WELLS, Kim",Liberal,0.42
Wantirna South,Rowville District,"WELLS, Kim",Liberal,83.11
Wantirna South,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,16.89
Warneet,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.1
Warrnambool,South-West Coast District,"BRITNELL, Roma",Liberal,99.25
Watchem West,Lowan District,"KEALY, Emma",The Nationals,56.74
Watchem West,Mildura District,"BENHAM, Jade",The Nationals,43.26
Wattle Flat (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,58.4
Wattle Flat (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,41.6
Werneth,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,76.7
Werneth,Polwarth District,"RIORDAN, Richard",Liberal,23.3
Werona,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,65.09
Werona,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,34.91
West Melbourne,Melbourne District,"SANDELL, Ellen",Australian Greens,97.14
West Melbourne,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,2.62
West Melbourne,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,0.24
Westmeadows,Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,51.09
Westmeadows,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,44.44
Westmeadows,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,4.47
Wheelers Hill,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,57.13
Wheelers Hill,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,42.86
Williams Landing,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,99.39
Williams Landing,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,0.61
Wilsons Promontory,Gippsland South District,"O'BRIEN, Danny",The Nationals,98.68
Wingeel,Polwarth District,"RIORDAN, Richard",Liberal,59.27
Wingeel,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,40.73
Winnap,Lowan District,"KEALY, Emma",The Nationals,92.11
Winnap,South-West Coast District,"BRITNELL, Roma",Liberal,7.89
Wollert,Thomastown District,"HALFPENNY, Bronwyn",Australian Labor Party - Victorian Branch,78.57
Wollert,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,17.77
Wollert,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,3.65
Wonga Park,Warrandyte District,"SMITH, Ryan",Liberal,99.22
Wonga Park,Croydon District,"HODGETT, David",Liberal,0.65
Wonga Park,Eildon District,"McLEISH, Cindy",Liberal,0.13
