SAL_NAME21,district_label,member,party,pct_area
Joel South,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,15.09
Joyces Creek,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,52.29
Joyces Creek,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,47.71
Kalorama,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,93.29
Kalorama,Evelyn District,"VALLENCE, Bridget",Liberal,6.71
Kangaroo Flat (Vic.),Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,63.6
Kangaroo Flat (Vic.),Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,36.4
Kangaroo Ground,Eildon District,"McLEISH, Cindy",Liberal,98.87
Kangaroo Ground,Warrandyte District,"SMITH, Ryan",Liberal,1.05
Katunga,Shepparton District,"O'KEEFFE, Kim",The Nationals,79.93
Katunga,Ovens Valley District,"McCURDY, Tim",The Nationals,20.07
Kealba,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,96.37
Kealba,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,3.63
Keilor,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,64.0
Keilor,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,34.5
Keilor,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,1.48
Keilor Downs,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,94.02
Keilor Downs,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,4.91
Keilor Downs,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,1.08
Keilor East,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,98.75
Keilor East,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,1.25
Keilor Lodge,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,97.71
Keilor Lodge,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,2.29
Kensington (Vic.),Melbourne District,"SANDELL, Ellen",Australian Greens,97.96
Kensington (Vic.),Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,1.98
Keysborough,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,67.05
Keysborough,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,23.61
Keysborough,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,9.33
Kilsyth,Croydon District,"HODGETT, David",Liberal,69.25
Kilsyth,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,30.75
Kimbolton (Vic.),Euroa District,"CLEELAND, Annabelle",The Nationals,54.14
Kimbolton (Vic.),Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,45.85
Kingsbury,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,83.51
Kingsbury,Preston District,"LAMBERT, Nathan",Australian Labor Party - Victorian Branch,16.49
Knoxfield,Rowville District,"WELLS, Kim",Liberal,91.43
Knoxfield,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,8.57
Kolora,Lowan District,"KEALY, Emma",The Nationals,82.79
Kolora,South-West Coast District,"BRITNELL, Roma",Liberal,17.16
Kongwak,Gippsland South District,"O'BRIEN, Danny",The Nationals,73.31
Kongwak,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,26.69
Koonoomoo,Ovens Valley District,"McCURDY, Tim",The Nationals,97.81
Koonoomoo,Shepparton District,"O'KEEFFE, Kim",The Nationals,1.97
Koornalla,Morwell District,"CAMERON, Martin",The Nationals,99.44
Koornalla,Gippsland South District,"O'BRIEN, Danny",The Nationals,0.56
Kyabram,Murray Plains District,"WALSH, Peter",The Nationals,85.37
Kyabram,Euroa District,"CLEELAND, Annabelle",The Nationals,14.63
Lake Marmal,Murray Plains District,"WALSH, Peter",The Nationals,75.03
Lake Marmal,Mildura District,"BENHAM, Jade",The Nationals,24.97
Lang Lang,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,95.79
Lang Lang,Gippsland South District,"O'BRIEN, Danny",The Nationals,4.2
Laverton (Vic.),Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,99.05
Laverton (Vic.),Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,0.95
Leichardt,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,50.61
Leichardt,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,49.39
Licola North,Gippsland East District,"BULL, Tim",The Nationals,96.88
Licola North,Eildon District,"McLEISH, Cindy",Liberal,3.12
Lima South,Euroa District,"CLEELAND, Annabelle",The Nationals,93.42
Lima South,Eildon District,"McLEISH, Cindy",Liberal,6.58
Lindsay Point,Mildura District,"BENHAM, Jade",The Nationals,99.48
Little River (Vic.),Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,62.66
Little River (Vic.),Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,37.34
Loch,Gippsland South District,"O'BRIEN, Danny",The Nationals,53.94
Loch,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,46.06
Lyons (Vic.),South-West Coast District,"BRITNELL, Roma",Liberal,97.34
Lyons (Vic.),Lowan District,"KEALY, Emma",The Nationals,2.66
Lysterfield,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,55.22
Lysterfield,Rowville District,"WELLS, Kim",Liberal,44.55
Lysterfield,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,0.23
Macleod (Vic.),Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,59.82
Macleod (Vic.),Ivanhoe District,"CARBINES, Anthony",Australian Labor Party - Victorian Branch,40.18
Magpie,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,98.35
Magpie,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,1.59
Major Plains,Shepparton District,"O'KEEFFE, Kim",The Nationals,61.73
Major Plains,Euroa District,"CLEELAND, Annabelle",The Nationals,38.27
Mallacoota,Gippsland East District,"BULL, Tim",The Nationals,99.24
Malvern (Vic.),Malvern District,"O'BRIEN, Michael",Liberal,99.42
Malvern (Vic.),Caulfield District,"SOUTHWICK, David",Liberal,0.54
Malvern East,Malvern District,"O'BRIEN, Michael",Liberal,99.22
Malvern East,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,0.5
Malvern East,Caulfield District,"SOUTHWICK, David",Liberal,0.21
Manns Beach,Gippsland South District,"O'BRIEN, Danny",The Nationals,97.32
Marong,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,66.62
Marong,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,33.38
Maroona,Lowan District,"KEALY, Emma",The Nationals,62.63
Maroona,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,37.37
Marshall,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,95.21
Marshall,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,4.79
Marungi,Shepparton District,"O'KEEFFE, Kim",The Nationals,73.59
Marungi,Ovens Valley District,"McCURDY, Tim",The Nationals,26.41
Melbourne,Melbourne District,"SANDELL, Ellen",Australian Greens,53.82
Melbourne,Prahran District,"HIBBINS, Sam",Australian Greens,37.49
Melbourne,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,8.69
Mentone,Sandringham District,"ROWSWELL, Brad",Liberal,57.9
Mentone,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,39.81
Mentone,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,2.29
Merrigum,Euroa District,"CLEELAND, Annabelle",The Nationals,91.93
Merrigum,Murray Plains District,"WALSH, Peter",The Nationals,8.07
Mill Park,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,84.11
Mill Park,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,15.8
Milloo,Murray Plains District,"WALSH, Peter",The Nationals,89.69
Milloo,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,10.31
Miralie,Murray Plains District,"WALSH, Peter",The Nationals,99.48
Miralie,Mildura District,"BENHAM, Jade",The Nationals,0.52
Mitta Mitta,Benambra District,"TILLEY, Bill",Liberal,92.26
Mitta Mitta,Gippsland East District,"BULL, Tim",The Nationals,7.68
Moe,Morwell District,"CAMERON, Martin",The Nationals,84.42
Moe,Narracan District,"FARNHAM, Wayne",Liberal,15.58
Moe South,Morwell District,"CAMERON, Martin",The Nationals,88.91
Moe South,Narracan District,"FARNHAM, Wayne",Liberal,11.09
Mollongghip,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,64.25
Mollongghip,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,35.75
Mont Albert,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,95.8
Mont Albert,Kew District,"WILSON, Jess",Liberal,4.2
Montrose (Vic.),Evelyn District,"VALLENCE, Bridget",Liberal,72.85
Montrose (Vic.),Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,27.14
Moolort,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,86.88
Moolort,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,13.12
Moonee Ponds,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,97.83
Moonee Ponds,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,2.15
Moorabbin,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,94.9
Moorabbin,Sandringham District,"ROWSWELL, Brad",Liberal,3.07
Moorabbin,Brighton District,"NEWBURY, James",Liberal,2.03
Moorooduc,Mornington District,"CREWTHER, Chris",Liberal,93.06
Moorooduc,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,6.94
Mooroolbark,Evelyn District,"VALLENCE, Bridget",Liberal,82.93
Mooroolbark,Croydon District,"HODGETT, David",Liberal,17.07
Mooroopna North,Shepparton District,"O'KEEFFE, Kim",The Nationals,86.97
Mooroopna North,Murray Plains District,"WALSH, Peter",The Nationals,13.03
Mooroopna North West,Shepparton District,"O'KEEFFE, Kim",The Nationals,60.17
Mooroopna North West,Murray Plains District,"WALSH, Peter",The Nationals,39.83
Moriac,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,95.17
Moriac,Polwarth District,"RIORDAN, Richard",Liberal,4.83
Mount Cottrell,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,36.17
Mount Cottrell,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,33.64
Mount Cottrell,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,30.18
Mount Martha,Mornington District,"CREWTHER, Chris",Liberal,98.31
Mount Martha,Nepean District,"GROTH, Sam",Liberal,1.67
Mount Pleasant (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,98.6
Mount Pleasant (Vic.),Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,1.4
Mount Waverley,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,82.16
Mount Waverley,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,17.84
Mulgrave (Vic.),Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,99.32
Mulgrave (Vic.),Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,0.63
Myrtle Creek (Vic.),Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,61.47
Myrtle Creek (Vic.),Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,38.53
Myrtlebank,Gippsland East District,"BULL, Tim",The Nationals,58.15
Myrtlebank,Gippsland South District,"O'BRIEN, Danny",The Nationals,41.85
Nalinga,Shepparton District,"O'KEEFFE, Kim",The Nationals,71.97
Nalinga,Euroa District,"CLEELAND, Annabelle",The Nationals,28.03
Nar Nar Goon North,Narracan District,"FARNHAM, Wayne",Liberal,80.06
Nar Nar Goon North,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,13.93
Nar Nar Goon North,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,6.01
Nariel Valley,Benambra District,"TILLEY, Bill",Liberal,75.91
Nariel Valley,Gippsland East District,"BULL, Tim",The Nationals,24.09
Narracan,Narracan District,"FARNHAM, Wayne",Liberal,84.34
Narracan,Morwell District,"CAMERON, Martin",The Nationals,15.65
Narre Warren,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,99.22
Narre Warren,Berwick District,"BATTIN, Brad",Liberal,0.62
Narre Warren,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,0.16
Narre Warren South,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,98.29
Narre Warren South,Berwick District,"BATTIN, Brad",Liberal,1.65
Nelse,Gippsland East District,"BULL, Tim",The Nationals,96.92
Nelse,Ovens Valley District,"McCURDY, Tim",The Nationals,2.93
Nelse,Benambra District,"TILLEY, Bill",Liberal,0.15
Nerrina,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,77.38
Nerrina,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,22.29
Nerrina,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,0.33
Newhaven,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.96
Nine Mile (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,75.47
Nine Mile (Vic.),Mildura District,"BENHAM, Jade",The Nationals,24.53
Nirranda East,South-West Coast District,"BRITNELL, Roma",Liberal,99.13
Nirranda East,Polwarth District,"RIORDAN, Richard",Liberal,0.87
Noble Park,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,54.02
Noble Park,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,32.56
Noble Park,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,13.42
North Bendigo,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,51.16
North Bendigo,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,48.84
North Shore (Vic.),Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,98.52
Numurkah,Shepparton District,"O'KEEFFE, Kim",The Nationals,98.52
Numurkah,Ovens Valley District,"McCURDY, Tim",The Nationals,1.48
Nyora (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,85.56
Nyora (Vic.),Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,12.17
Nyora (Vic.),Narracan District,"FARNHAM, Wayne",Liberal,2.27
Oak Park,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,98.22
Oak Park,Pascoe Vale District,"CIANFLONE, Anthony",Australian Labor Party - Victorian Branch,1.62
Oak Park,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,0.16
Oaklands Junction,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,87.27
Oaklands Junction,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,12.71
Oakleigh South,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,57.7
Oakleigh South,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,42.27
Ocean Grange,Gippsland South District,"O'BRIEN, Danny",The Nationals,52.63
Ocean Grange,Gippsland East District,"BULL, Tim",The Nationals,47.31
Ormond,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,52.11
Ormond,Caulfield District,"SOUTHWICK, David",Liberal,28.56
Ormond,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,19.32
Outtrim,Gippsland South District,"O'BRIEN, Danny",The Nationals,76.21
