POA_NAME21,district_label,member,party,pct_area
3533,Mildura District,"BENHAM, Jade",The Nationals,96.76
3533,Murray Plains District,"WALSH, Peter",The Nationals,3.24
3544,Murray Plains District,"WALSH, Peter",The Nationals,79.92
3544,Mildura District,"BENHAM, Jade",The Nationals,20.08
3550,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,74.75
3550,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,25.25
3551,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,40.73
3551,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,26.48
3551,Euroa District,"CLEELAND, Annabelle",The Nationals,24.32
3551,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,7.43
3551,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,1.03
3555,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,61.39
3555,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,38.61
3556,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,60.08
3556,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,23.09
3556,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,16.82
3557,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,67.18
3557,Euroa District,"CLEELAND, Annabelle",The Nationals,32.82
3558,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,56.18
3558,Euroa District,"CLEELAND, Annabelle",The Nationals,43.77
3559,Euroa District,"CLEELAND, Annabelle",The Nationals,87.56
3559,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,12.44
3572,Murray Plains District,"WALSH, Peter",The Nationals,66.3
3572,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,33.7
3596,Mildura District,"BENHAM, Jade",The Nationals,87.85
3596,Murray Plains District,"WALSH, Peter",The Nationals,12.14
3614,Shepparton District,"O'KEEFFE, Kim",The Nationals,66.23
3614,Euroa District,"CLEELAND, Annabelle",The Nationals,33.77
3616,Euroa District,"CLEELAND, Annabelle",The Nationals,53.23
3616,Shepparton District,"O'KEEFFE, Kim",The Nationals,40.63
3616,Murray Plains District,"WALSH, Peter",The Nationals,6.14
3618,Euroa District,"CLEELAND, Annabelle",The Nationals,91.93
3618,Murray Plains District,"WALSH, Peter",The Nationals,8.07
3620,Murray Plains District,"WALSH, Peter",The Nationals,89.08
3620,Euroa District,"CLEELAND, Annabelle",The Nationals,10.76
3620,Shepparton District,"O'KEEFFE, Kim",The Nationals,0.16
3629,Murray Plains District,"WALSH, Peter",The Nationals,50.6
3629,Shepparton District,"O'KEEFFE, Kim",The Nationals,49.4
3630,Euroa District,"CLEELAND, Annabelle",The Nationals,69.59
3630,Shepparton District,"O'KEEFFE, Kim",The Nationals,30.41
3631,Shepparton District,"O'KEEFFE, Kim",The Nationals,67.8
3631,Euroa District,"CLEELAND, Annabelle",The Nationals,32.2
3634,Shepparton District,"O'KEEFFE, Kim",The Nationals,97.57
3634,Ovens Valley District,"McCURDY, Tim",The Nationals,2.41
3636,Shepparton District,"O'KEEFFE, Kim",The Nationals,55.96
3636,Ovens Valley District,"McCURDY, Tim",The Nationals,44.04
3640,Shepparton District,"O'KEEFFE, Kim",The Nationals,79.93
3640,Ovens Valley District,"McCURDY, Tim",The Nationals,20.07
3644,Ovens Valley District,"McCURDY, Tim",The Nationals,55.65
3644,Shepparton District,"O'KEEFFE, Kim",The Nationals,0.21
3646,Ovens Valley District,"McCURDY, Tim",The Nationals,69.13
3646,Shepparton District,"O'KEEFFE, Kim",The Nationals,29.25
3646,Euroa District,"CLEELAND, Annabelle",The Nationals,1.62
3658,Euroa District,"CLEELAND, Annabelle",The Nationals,58.13
3658,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,24.91
3658,Eildon District,"McLEISH, Cindy",Liberal,16.95
3660,Euroa District,"CLEELAND, Annabelle",The Nationals,67.56
3660,Eildon District,"McLEISH, Cindy",Liberal,32.44
3669,Euroa District,"CLEELAND, Annabelle",The Nationals,98.11
3669,Eildon District,"McLEISH, Cindy",Liberal,1.89
3675,Ovens Valley District,"McCURDY, Tim",The Nationals,60.92
3675,Euroa District,"CLEELAND, Annabelle",The Nationals,39.08
3682,Benambra District,"TILLEY, Bill",Liberal,54.14
3682,Ovens Valley District,"McCURDY, Tim",The Nationals,45.85
3685,Benambra District,"TILLEY, Bill",Liberal,88.82
3685,Ovens Valley District,"McCURDY, Tim",The Nationals,11.02
3691,Benambra District,"TILLEY, Bill",Liberal,74.37
3691,Ovens Valley District,"McCURDY, Tim",The Nationals,25.01
3697,Ovens Valley District,"McCURDY, Tim",The Nationals,99.1
3697,Benambra District,"TILLEY, Bill",Liberal,0.88
3699,Ovens Valley District,"McCURDY, Tim",The Nationals,56.94
3699,Gippsland East District,"BULL, Tim",The Nationals,43.0
3701,Benambra District,"TILLEY, Bill",Liberal,91.99
3701,Gippsland East District,"BULL, Tim",The Nationals,7.99
3707,Benambra District,"TILLEY, Bill",Liberal,80.93
3707,Gippsland East District,"BULL, Tim",The Nationals,15.63
3717,Eildon District,"McLEISH, Cindy",Liberal,98.26
3717,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,1.74
3723,Eildon District,"McLEISH, Cindy",Liberal,92.08
3723,Ovens Valley District,"McCURDY, Tim",The Nationals,3.67
3723,Euroa District,"CLEELAND, Annabelle",The Nationals,3.55
3723,Gippsland East District,"BULL, Tim",The Nationals,0.7
3725,Euroa District,"CLEELAND, Annabelle",The Nationals,82.83
3725,Shepparton District,"O'KEEFFE, Kim",The Nationals,17.16
3747,Benambra District,"TILLEY, Bill",Liberal,87.62
3747,Ovens Valley District,"McCURDY, Tim",The Nationals,12.38
3750,Thomastown District,"HALFPENNY, Bronwyn",Australian Labor Party - Victorian Branch,78.57
3750,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,17.77
3750,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,3.65
3752,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,90.95
3752,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,9.05
3753,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,63.54
3753,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,36.31
3753,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,0.15
3756,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,49.7
3756,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,28.91
3756,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,21.38
3757,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,56.94
3757,Eildon District,"McLEISH, Cindy",Liberal,43.06
3758,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,62.75
3758,Euroa District,"CLEELAND, Annabelle",The Nationals,37.24
3762,Euroa District,"CLEELAND, Annabelle",The Nationals,72.28
3762,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,27.71
3765,Evelyn District,"VALLENCE, Bridget",Liberal,72.85
3765,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,27.14
3766,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,93.29
3766,Evelyn District,"VALLENCE, Bridget",Liberal,6.71
3783,Narracan District,"FARNHAM, Wayne",Liberal,51.49
3783,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,47.99
3783,Eildon District,"McLEISH, Cindy",Liberal,0.51
3795,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,89.16
3795,Evelyn District,"VALLENCE, Bridget",Liberal,10.84
3804,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,70.19
3804,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,29.81
3805,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,51.63
3805,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,47.25
3805,Berwick District,"BATTIN, Brad",Liberal,1.12
3806,Berwick District,"BATTIN, Brad",Liberal,91.41
3806,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,8.54
3808,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,54.39
3808,Berwick District,"BATTIN, Brad",Liberal,45.51
3808,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,0.1
3812,Narracan District,"FARNHAM, Wayne",Liberal,91.39
3812,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,6.02
3812,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,2.59
3824,Narracan District,"FARNHAM, Wayne",Liberal,97.22
3824,Morwell District,"CAMERON, Martin",The Nationals,2.78
3825,Narracan District,"FARNHAM, Wayne",Liberal,83.28
3825,Morwell District,"CAMERON, Martin",The Nationals,9.13
3825,Gippsland East District,"BULL, Tim",The Nationals,7.58
3833,Narracan District,"FARNHAM, Wayne",Liberal,91.09
3833,Eildon District,"McLEISH, Cindy",Liberal,8.91
3840,Morwell District,"CAMERON, Martin",The Nationals,80.24
3840,Gippsland South District,"O'BRIEN, Danny",The Nationals,19.76
3844,Morwell District,"CAMERON, Martin",The Nationals,60.79
3844,Gippsland South District,"O'BRIEN, Danny",The Nationals,39.2
3851,Gippsland South District,"O'BRIEN, Danny",The Nationals,91.88
3851,Gippsland East District,"BULL, Tim",The Nationals,8.11
3854,Morwell District,"CAMERON, Martin",The Nationals,49.07
3854,Gippsland South District,"O'BRIEN, Danny",The Nationals,46.86
3854,Narracan District,"FARNHAM, Wayne",Liberal,4.08
3856,Gippsland South District,"O'BRIEN, Danny",The Nationals,56.6
3856,Narracan District,"FARNHAM, Wayne",Liberal,43.38
3857,Gippsland South District,"O'BRIEN, Danny",The Nationals,93.8
3857,Gippsland East District,"BULL, Tim",The Nationals,6.2
3858,Gippsland East District,"BULL, Tim",The Nationals,90.34
3858,Gippsland South District,"O'BRIEN, Danny",The Nationals,6.49
3858,Eildon District,"McLEISH, Cindy",Liberal,3.17
3862,Gippsland East District,"BULL, Tim",The Nationals,83.58
3862,Ovens Valley District,"McCURDY, Tim",The Nationals,16.41
3871,Gippsland South District,"O'BRIEN, Danny",The Nationals,91.18
3871,Narracan District,"FARNHAM, Wayne",Liberal,8.81
3880,Gippsland East District,"BULL, Tim",The Nationals,86.73
3880,Gippsland South District,"O'BRIEN, Danny",The Nationals,13.25
3892,Gippsland East District,"BULL, Tim",The Nationals,99.24
3898,Gippsland East District,"BULL, Tim",The Nationals,92.46
3898,Ovens Valley District,"McCURDY, Tim",The Nationals,7.54
3911,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,92.55
3911,Mornington District,"CREWTHER, Chris",Liberal,7.22
3911,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,0.21
3912,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,56.61
3912,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,43.18
3915,Mornington District,"CREWTHER, Chris",Liberal,60.01
3915,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,39.64
3918,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,98.95
3919,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,98.81
3920,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,97.36
3922,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.27
3923,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.33
3925,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.16
3926,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,53.37
3926,Nepean District,"GROTH, Sam",Liberal,46.63
3933,Mornington District,"CREWTHER, Chris",Liberal,93.06
3933,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,6.94
3934,Mornington District,"CREWTHER, Chris",Liberal,98.31
3934,Nepean District,"GROTH, Sam",Liberal,1.67
3941,Nepean District,"GROTH, Sam",Liberal,99.2
3942,Nepean District,"GROTH, Sam",Liberal,98.63
3943,Nepean District,"GROTH, Sam",Liberal,99.08
3944,Nepean District,"GROTH, Sam",Liberal,99.2
3945,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,59.88
3945,Gippsland South District,"O'BRIEN, Danny",The Nationals,40.12
3950,Gippsland South District,"O'BRIEN, Danny",The Nationals,96.24
3950,Narracan District,"FARNHAM, Wayne",Liberal,3.76
3951,Gippsland South District,"O'BRIEN, Danny",The Nationals,87.35
3951,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,12.65
3953,Gippsland South District,"O'BRIEN, Danny",The Nationals,98.17
3953,Narracan District,"FARNHAM, Wayne",Liberal,1.83
3956,Gippsland South District,"O'BRIEN, Danny",The Nationals,96.5
3960,Gippsland South District,"O'BRIEN, Danny",The Nationals,99.22
3964,Gippsland South District,"O'BRIEN, Danny",The Nationals,97.69
3975,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,69.64
3975,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,30.36
3976,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,90.71
3976,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,9.29
3977,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,39.98
3977,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,30.54
3977,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,13.85
3977,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,7.21
3978,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,55.36
3978,Berwick District,"BATTIN, Brad",Liberal,27.44
3978,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,10.54
3978,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,6.63
3980,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.97
3981,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,91.6
3981,Narracan District,"FARNHAM, Wayne",Liberal,8.34
3984,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.2
3984,Gippsland South District,"O'BRIEN, Danny",The Nationals,1.7
3987,Gippsland South District,"O'BRIEN, Danny",The Nationals,85.56
3987,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,12.17
3987,Narracan District,"FARNHAM, Wayne",Liberal,2.27
3988,Gippsland South District,"O'BRIEN, Danny",The Nationals,76.68
3988,Narracan District,"FARNHAM, Wayne",Liberal,23.31
3996,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,61.64
3996,Gippsland South District,"O'BRIEN, Danny",The Nationals,33.41
