POA_NAME21,district_label,member,party,pct_area
3131,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,34.96
3133,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,88.93
3133,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,11.02
3134,Warrandyte District,"SMITH, Ryan",Liberal,61.42
3134,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,36.43
3134,Croydon District,"HODGETT, David",Liberal,1.95
3134,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,0.2
3135,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,99.07
3135,Croydon District,"HODGETT, David",Liberal,0.9
3136,Croydon District,"HODGETT, David",Liberal,99.24
3136,Warrandyte District,"SMITH, Ryan",Liberal,0.57
3136,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,0.17
3137,Croydon District,"HODGETT, David",Liberal,77.35
3137,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,22.62
3138,Evelyn District,"VALLENCE, Bridget",Liberal,82.93
3138,Croydon District,"HODGETT, David",Liberal,17.07
3139,Eildon District,"McLEISH, Cindy",Liberal,72.75
3139,Evelyn District,"VALLENCE, Bridget",Liberal,17.82
3139,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,9.42
3143,Malvern District,"O'BRIEN, Michael",Liberal,96.46
3143,Prahran District,"HIBBINS, Sam",Australian Greens,2.29
3143,Caulfield District,"SOUTHWICK, David",Liberal,1.26
3145,Malvern District,"O'BRIEN, Michael",Liberal,85.32
3145,Caulfield District,"SOUTHWICK, David",Liberal,14.19
3145,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,0.43
3146,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,62.61
3146,Malvern District,"O'BRIEN, Michael",Liberal,32.83
3146,Hawthorn District,"PESUTTO, John",Liberal,4.56
3147,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,99.03
3147,Malvern District,"O'BRIEN, Michael",Liberal,0.97
3148,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,70.98
3148,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,28.98
3149,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,82.16
3149,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,17.84
3150,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,76.77
3150,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,21.88
3150,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,1.34
3151,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,47.85
3151,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,31.15
3151,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,20.99
3152,Rowville District,"WELLS, Kim",Liberal,53.03
3152,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,46.94
3153,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,54.78
3153,Croydon District,"HODGETT, David",Liberal,45.05
3153,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,0.17
3154,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,83.29
3154,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,16.71
3155,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,96.45
3155,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,3.53
3156,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,49.72
3156,Rowville District,"WELLS, Kim",Liberal,26.86
3156,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,14.74
3156,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,8.68
3163,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,87.6
3163,Caulfield District,"SOUTHWICK, David",Liberal,12.39
3167,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,57.7
3167,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,42.27
3170,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,99.32
3170,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,0.63
3173,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,67.05
3173,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,23.61
3173,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,9.33
3174,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,53.12
3174,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,37.55
3174,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,9.33
3175,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,58.18
3175,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,27.75
3175,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,12.22
3175,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,1.78
3177,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,98.38
3177,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,1.62
3180,Rowville District,"WELLS, Kim",Liberal,91.43
3180,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,8.57
3182,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,75.04
3182,Prahran District,"HIBBINS, Sam",Australian Greens,22.95
3182,Caulfield District,"SOUTHWICK, David",Liberal,1.09
3183,Caulfield District,"SOUTHWICK, David",Liberal,79.16
3183,Prahran District,"HIBBINS, Sam",Australian Greens,20.75
3184,Brighton District,"NEWBURY, James",Liberal,98.16
3184,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,1.63
3186,Brighton District,"NEWBURY, James",Liberal,99.38
3186,Caulfield District,"SOUTHWICK, David",Liberal,0.38
3187,Brighton District,"NEWBURY, James",Liberal,98.18
3187,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,1.82
3188,Brighton District,"NEWBURY, James",Liberal,58.89
3188,Sandringham District,"ROWSWELL, Brad",Liberal,41.09
3189,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,94.9
3189,Sandringham District,"ROWSWELL, Brad",Liberal,3.07
