LGA_NAME25,district_label,member,party,pct_area
Moorabool,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,1.76
Mornington Peninsula,Nepean District,"GROTH, Sam",Liberal,53.1
Mornington Peninsula,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,25.41
Mornington Peninsula,Mornington District,"CREWTHER, Chris",Liberal,21.29
Mount Alexander,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,65.32
Mount Alexander,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,34.61
Moyne,Lowan District,"KEALY, Emma",The Nationals,31.95
Nillumbik,Eildon District,"McLEISH, Cindy",Liberal,74.07
Nillumbik,Eltham District,"WARD, Vicki",Australian Labor Party - Victorian Branch,13.09
Nillumbik,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,10.2
Nillumbik,Warrandyte District,"SMITH, Ryan",Liberal,2.11
Nillumbik,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,0.52
Northern Grampians,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,59.24
Northern Grampians,Lowan District,"KEALY, Emma",The Nationals,40.76
Port Phillip,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,67.35
Port Phillip,Brighton District,"NEWBURY, James",Liberal,12.43
Port Phillip,Prahran District,"HIBBINS, Sam",Australian Greens,11.1
Port Phillip,Caulfield District,"SOUTHWICK, David",Liberal,8.51
Queenscliffe,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,98.37
South Gippsland,Gippsland South District,"O'BRIEN, Danny",The Nationals,99.42
Stonnington,Malvern District,"O'BRIEN, Michael",Liberal,78.43
Stonnington,Prahran District,"HIBBINS, Sam",Australian Greens,21.05
Stonnington,Caulfield District,"SOUTHWICK, David",Liberal,0.27
Stonnington,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,0.15
Surf Coast,Polwarth District,"RIORDAN, Richard",Liberal,85.13
Surf Coast,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,14.82
Swan Hill,Mildura District,"BENHAM, Jade",The Nationals,59.75
